id,week,month,monthofyear,year
20170904,2017W36,201709,09,2017
20170905,2017W36,201709,09,2017
20170906,2017W36,201709,09,2017
20170907,2017W36,201709,09,2017
20170908,2017W36,201709,09,2017
20170909,2017W36,201709,09,2017
20170910,2017W36,201709,09,2017
20170911,2017W37,201709,09,2017
20170912,2017W37,201709,09,2017
20170913,2017W37,201709,09,2017
20170914,2017W37,201709,09,2017
20170915,2017W37,201709,09,2017
20170916,2017W37,201709,09,2017
20170917,2017W37,201709,09,2017
20170918,2017W38,201709,09,2017
20170919,2017W38,201709,09,2017
20170920,2017W38,201709,09,2017
20170921,2017W38,201709,09,2017
20170922,2017W38,201709,09,2017
20170923,2017W38,201709,09,2017
20170924,2017W38,201709,09,2017
20170925,2017W39,201709,09,2017
20170926,2017W39,201709,09,2017
20170927,2017W39,201709,09,2017
20170928,2017W39,201709,09,2017
20170929,2017W39,201709,09,2017
20170930,2017W39,201709,09,2017
20171001,2017W39,201710,10,2017
20171002,2017W40,201710,10,2017
20171003,2017W40,201710,10,2017
20171004,2017W40,201710,10,2017
20171005,2017W40,201710,10,2017
20171006,2017W40,201710,10,2017
20171007,2017W40,201710,10,2017
20171008,2017W40,201710,10,2017
20171009,2017W41,201710,10,2017
20171010,2017W41,201710,10,2017
20171011,2017W41,201710,10,2017
20171012,2017W41,201710,10,2017
20171013,2017W41,201710,10,2017
20171014,2017W41,201710,10,2017
20171015,2017W41,201710,10,2017
20171016,2017W42,201710,10,2017
20171017,2017W42,201710,10,2017
20171018,2017W42,201710,10,2017
20171019,2017W42,201710,10,2017
20171020,2017W42,201710,10,2017
20171021,2017W42,201710,10,2017
20171022,2017W42,201710,10,2017
20171023,2017W43,201710,10,2017
20171024,2017W43,201710,10,2017
20171025,2017W43,201710,10,2017
20171026,2017W43,201710,10,2017
20171027,2017W43,201710,10,2017
20171028,2017W43,201710,10,2017
20171029,2017W43,201710,10,2017
20171030,2017W44,201710,10,2017
20171031,2017W44,201710,10,2017
20171101,2017W44,201711,11,2017
20171102,2017W44,201711,11,2017
20171103,2017W44,201711,11,2017
20171104,2017W44,201711,11,2017
20171105,2017W44,201711,11,2017
20171106,2017W45,201711,11,2017
20171107,2017W45,201711,11,2017
20171108,2017W45,201711,11,2017
20171109,2017W45,201711,11,2017
20171110,2017W45,201711,11,2017
20171111,2017W45,201711,11,2017
20171112,2017W45,201711,11,2017
20171113,2017W46,201711,11,2017
20171114,2017W46,201711,11,2017
20171115,2017W46,201711,11,2017
20171116,2017W46,201711,11,2017
20171117,2017W46,201711,11,2017
20171118,2017W46,201711,11,2017
20171119,2017W46,201711,11,2017
20171120,2017W47,201711,11,2017
20171121,2017W47,201711,11,2017
20171122,2017W47,201711,11,2017
20171123,2017W47,201711,11,2017
20171124,2017W47,201711,11,2017
20171125,2017W47,201711,11,2017
20171126,2017W47,201711,11,2017
20171127,2017W48,201711,11,2017
20171128,2017W48,201711,11,2017
20171129,2017W48,201711,11,2017
20171130,2017W48,201711,11,2017
20171201,2017W48,201712,12,2017
20171202,2017W48,201712,12,2017
20171203,2017W48,201712,12,2017
20171204,2017W49,201712,12,2017
20171205,2017W49,201712,12,2017
20171206,2017W49,201712,12,2017
20171207,2017W49,201712,12,2017
20171208,2017W49,201712,12,2017
20171209,2017W49,201712,12,2017
20171210,2017W49,201712,12,2017
20171211,2017W50,201712,12,2017
20171212,2017W50,201712,12,2017
20171213,2017W50,201712,12,2017
20171214,2017W50,201712,12,2017
20171215,2017W50,201712,12,2017
20171216,2017W50,201712,12,2017
20171217,2017W50,201712,12,2017
20171218,2017W51,201712,12,2017
20171219,2017W51,201712,12,2017
20171220,2017W51,201712,12,2017
20171221,2017W51,201712,12,2017
20171222,2017W51,201712,12,2017
20171223,2017W51,201712,12,2017
20171224,2017W51,201712,12,2017
20171225,2017W52,201712,12,2017
20171226,2017W52,201712,12,2017
20171227,2017W52,201712,12,2017
20171228,2017W52,201712,12,2017
20171229,2017W52,201712,12,2017
20171230,2017W52,201712,12,2017
20171231,2017W52,201712,12,2017
20180101,2018W01,201801,01,2018
20180102,2018W01,201801,01,2018
20180103,2018W01,201801,01,2018
