id,dateofsemiday,time
20161204D,20161204,D
20161204N,20161204,N
20161205D,20161205,D
20161205N,20161205,N
20161206D,20161206,D
20161206N,20161206,N
20161207D,20161207,D
20161207N,20161207,N
20161208D,20161208,D
20161208N,20161208,N
20161209D,20161209,D
20161209N,20161209,N
20161210D,20161210,D
20161210N,20161210,N
20161211D,20161211,D
20161211N,20161211,N
20161212D,20161212,D
20161212N,20161212,N
20161213D,20161213,D
20161213N,20161213,N
20161214D,20161214,D
20161214N,20161214,N
20161215D,20161215,D
20161215N,20161215,N
20161216D,20161216,D
20161216N,20161216,N
20161217D,20161217,D
20161217N,20161217,N
20161218D,20161218,D
20161218N,20161218,N
20161219D,20161219,D
20161219N,20161219,N
20161220D,20161220,D
20161220N,20161220,N
20161221D,20161221,D
20161221N,20161221,N
20161222D,20161222,D
20161222N,20161222,N
20161223D,20161223,D
20161223N,20161223,N
20161224D,20161224,D
20161224N,20161224,N
20161225D,20161225,D
20161225N,20161225,N
20161226D,20161226,D
20161226N,20161226,N
20161227D,20161227,D
20161227N,20161227,N
20161228D,20161228,D
20161228N,20161228,N
20161229D,20161229,D
20161229N,20161229,N
20161230D,20161230,D
20161230N,20161230,N
20161231D,20161231,D
20161231N,20161231,N
20170101D,20170101,D
20170101N,20170101,N
20170102D,20170102,D
20170102N,20170102,N
20170103D,20170103,D
20170103N,20170103,N
20170104D,20170104,D
20170104N,20170104,N
20170105D,20170105,D
20170105N,20170105,N
20170106D,20170106,D
20170106N,20170106,N
20170107D,20170107,D
20170107N,20170107,N
20170108D,20170108,D
20170108N,20170108,N
20170109D,20170109,D
20170109N,20170109,N
20170110D,20170110,D
20170110N,20170110,N
20170111D,20170111,D
20170111N,20170111,N
20170112D,20170112,D
20170112N,20170112,N
20170113D,20170113,D
20170113N,20170113,N
20170114D,20170114,D
20170114N,20170114,N
20170115D,20170115,D
20170115N,20170115,N
20170116D,20170116,D
20170116N,20170116,N
20170117D,20170117,D
20170117N,20170117,N
20170118D,20170118,D
20170118N,20170118,N
20170119D,20170119,D
20170119N,20170119,N
20170120D,20170120,D
20170120N,20170120,N
20170121D,20170121,D
20170121N,20170121,N
20170122D,20170122,D
20170122N,20170122,N
20170123D,20170123,D
20170123N,20170123,N
20170124D,20170124,D
20170124N,20170124,N
20170125D,20170125,D
20170125N,20170125,N
20170126D,20170126,D
20170126N,20170126,N
20170127D,20170127,D
20170127N,20170127,N
20170128D,20170128,D
20170128N,20170128,N
20170129D,20170129,D
20170129N,20170129,N
20170130D,20170130,D
20170130N,20170130,N
20170131D,20170131,D
20170131N,20170131,N
20170201D,20170201,D
20170201N,20170201,N
20170202D,20170202,D
20170202N,20170202,N
20170203D,20170203,D
20170203N,20170203,N
20170204D,20170204,D
20170204N,20170204,N
20170205D,20170205,D
20170205N,20170205,N
20170206D,20170206,D
20170206N,20170206,N
20170207D,20170207,D
20170207N,20170207,N
20170208D,20170208,D
20170208N,20170208,N
20170209D,20170209,D
20170209N,20170209,N
20170210D,20170210,D
20170210N,20170210,N
20170211D,20170211,D
20170211N,20170211,N
20170212D,20170212,D
20170212N,20170212,N
20170213D,20170213,D
20170213N,20170213,N
20170214D,20170214,D
20170214N,20170214,N
20170215D,20170215,D
20170215N,20170215,N
20170216D,20170216,D
20170216N,20170216,N
20170217D,20170217,D
20170217N,20170217,N
20170218D,20170218,D
20170218N,20170218,N
20170219D,20170219,D
20170219N,20170219,N
20170220D,20170220,D
20170220N,20170220,N
20170221D,20170221,D
20170221N,20170221,N
20170222D,20170222,D
20170222N,20170222,N
20170223D,20170223,D
20170223N,20170223,N
20170224D,20170224,D
20170224N,20170224,N
20170225D,20170225,D
20170225N,20170225,N
20170226D,20170226,D
20170226N,20170226,N
20170227D,20170227,D
20170227N,20170227,N
20170228D,20170228,D
20170228N,20170228,N
20170301D,20170301,D
20170301N,20170301,N
20170302D,20170302,D
20170302N,20170302,N
20170303D,20170303,D
20170303N,20170303,N
20170304D,20170304,D
20170304N,20170304,N
20170305D,20170305,D
20170305N,20170305,N
20170306D,20170306,D
20170306N,20170306,N
20170307D,20170307,D
20170307N,20170307,N
20170308D,20170308,D
20170308N,20170308,N
20170309D,20170309,D
20170309N,20170309,N
20170310D,20170310,D
20170310N,20170310,N
20170311D,20170311,D
20170311N,20170311,N
20170312D,20170312,D
20170312N,20170312,N
20170313D,20170313,D
20170313N,20170313,N
20170314D,20170314,D
20170314N,20170314,N
20170315D,20170315,D
20170315N,20170315,N
20170316D,20170316,D
20170316N,20170316,N
20170317D,20170317,D
20170317N,20170317,N
20170318D,20170318,D
20170318N,20170318,N
20170319D,20170319,D
20170319N,20170319,N
20170320D,20170320,D
20170320N,20170320,N
20170321D,20170321,D
20170321N,20170321,N
20170322D,20170322,D
20170322N,20170322,N
20170323D,20170323,D
20170323N,20170323,N
20170324D,20170324,D
20170324N,20170324,N
20170325D,20170325,D
20170325N,20170325,N
20170326D,20170326,D
20170326N,20170326,N
20170327D,20170327,D
20170327N,20170327,N
20170328D,20170328,D
20170328N,20170328,N
20170329D,20170329,D
20170329N,20170329,N
20170330D,20170330,D
20170330N,20170330,N
20170331D,20170331,D
20170331N,20170331,N
20170401D,20170401,D
20170401N,20170401,N
20170402D,20170402,D
20170402N,20170402,N
20170403D,20170403,D
20170403N,20170403,N
20170404D,20170404,D
20170404N,20170404,N
20170405D,20170405,D
20170405N,20170405,N
20170406D,20170406,D
20170406N,20170406,N
20170407D,20170407,D
20170407N,20170407,N
20170408D,20170408,D
20170408N,20170408,N
